#, time, y[0], y[1], y[2], y[3], y[4], y[5], y[6], y[7], y[8], y[9]
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 0.040000, 0.248690, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2, 0.080000, 0.481754, 0.248690, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3, 0.120000, 0.684547, 0.481754, 0.248690, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
4, 0.160000, 0.844328, 0.684547, 0.481754, 0.248690, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
5, 0.200000, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
6, 0.240000, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690, 0.000000, 0.000000, 0.000000, 0.000000
7, 0.280000, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690, 0.000000, 0.000000, 0.000000
8, 0.320000, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690, 0.000000, 0.000000
9, 0.360000, 0.770513, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690, 0.000000
10, 0.400000, 0.587785, 0.770513, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690
11, 0.440000, 0.368125, 0.587785, 0.770513, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754
12, 0.480000, 0.125333, 0.368125, 0.587785, 0.770513, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547
13, 0.520000, -0.125333, 0.125333, 0.368125, 0.587785, 0.770513, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328
14, 0.560000, -0.368125, -0.125333, 0.125333, 0.368125, 0.587785, 0.770513, 0.904827, 0.982287, 0.998027, 0.951057
15, 0.600000, -0.587785, -0.368125, -0.125333, 0.125333, 0.368125, 0.587785, 0.770513, 0.904827, 0.982287, 0.998027
16, 0.640000, -0.770513, -0.587785, -0.368125, -0.125333, 0.125333, 0.368125, 0.587785, 0.770513, 0.904827, 0.982287
17, 0.680000, -0.904827, -0.770513, -0.587785, -0.368125, -0.125333, 0.125333, 0.368125, 0.587785, 0.770513, 0.904827
18, 0.720000, -0.982287, -0.904827, -0.770513, -0.587785, -0.368125, -0.125333, 0.125333, 0.368125, 0.587785, 0.770513
19, 0.760000, -0.998027, -0.982287, -0.904827, -0.770513, -0.587785, -0.368125, -0.125333, 0.125333, 0.368125, 0.587785
20, 0.800000, -0.951057, -0.998027, -0.982287, -0.904827, -0.770513, -0.587785, -0.368125, -0.125333, 0.125333, 0.368125
21, 0.840000, -0.844328, -0.951057, -0.998027, -0.982287, -0.904827, -0.770513, -0.587785, -0.368125, -0.125333, 0.125333
22, 0.880000, -0.684547, -0.844328, -0.951057, -0.998027, -0.982287, -0.904827, -0.770513, -0.587785, -0.368125, -0.125333
23, 0.920000, -0.481754, -0.684547, -0.844328, -0.951057, -0.998027, -0.982287, -0.904827, -0.770513, -0.587785, -0.368125
24, 0.960000, -0.248690, -0.481754, -0.684547, -0.844328, -0.951057, -0.998027, -0.982287, -0.904827, -0.770513, -0.587785
25, 1.000000, -0.000000, -0.248690, -0.481754, -0.684547, -0.844328, -0.951057, -0.998027, -0.982287, -0.904827, -0.770513
26, 1.040000, 0.248690, -0.000000, -0.248690, -0.481754, -0.684547, -0.844328, -0.951057, -0.998027, -0.982287, -0.904827
27, 1.080000, 0.481754, 0.248690, -0.000000, -0.248690, -0.481754, -0.684547, -0.844328, -0.951057, -0.998027, -0.982287
28, 1.120000, 0.684547, 0.481754, 0.248690, -0.000000, -0.248690, -0.481754, -0.684547, -0.844328, -0.951057, -0.998027
29, 1.160000, 0.844328, 0.684547, 0.481754, 0.248690, -0.000000, -0.248690, -0.481754, -0.684547, -0.844328, -0.951057
30, 1.200000, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690, -0.000000, -0.248690, -0.481754, -0.684547, -0.844328
31, 1.240000, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690, -0.000000, -0.248690, -0.481754, -0.684547
32, 1.280000, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690, -0.000000, -0.248690, -0.481754
33, 1.320000, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690, -0.000000, -0.248690
34, 1.360000, 0.770513, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690, -0.000000
35, 1.400000, 0.587785, 0.770513, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690
36, 1.440000, 0.368125, 0.587785, 0.770513, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754
